kind,level,mean,highway,urban,weather
gaussian,0.5,93.61491430299083,99.17168674698796,84.85113835376532,96.82191780821918
gaussian,1.0,92.764247764274,99.17168674698796,83.66900175131349,95.45205479452055
gaussian,2.0,87.9001309558942,97.43975903614458,79.24693520140104,87.01369863013699
gaussian,4.0,74.5633073281057,86.29518072289156,70.27145359019265,67.12328767123287
bias,0.5,92.36956503412108,98.71987951807229,82.00525394045533,96.38356164383562
bias,1.0,91.1130059185474,98.19277108433735,80.95446584938703,94.1917808219178
bias,2.0,81.52049492984293,94.05120481927712,72.15411558669001,78.35616438356165
bias,4.0,69.60087843155844,79.36746987951807,64.01050788091068,65.42465753424658
drift,0.5,94.09626161484458,99.17168674698796,86.95271453590193,96.16438356164385
drift,1.0,92.61452421494148,99.09638554216868,84.71978984238179,94.02739726027397
drift,2.0,88.8185594138664,97.59036144578313,82.18038528896673,86.68493150684931
drift,4.0,78.86415903279168,89.30722891566265,74.73730297723293,72.54794520547945
colored,0.5,93.99753055838256,99.24698795180723,86.03327495621717,96.7123287671233
colored,1.0,93.33801836427108,99.0210843373494,85.37653239929948,95.61643835616438
colored,2.0,89.47917086381658,98.3433734939759,80.99824868651488,89.0958904109589
colored,4.0,79.71548533697683,91.18975903614458,72.28546409807356,75.67123287671232
multiplicative,0.5,91.24138776153966,98.87048192771084,78.19614711033275,96.65753424657534
multiplicative,1.0,89.61865298200696,97.96686746987952,76.09457092819615,94.79452054794521
multiplicative,2.0,85.21854209053664,93.67469879518072,74.9124343257443,87.06849315068493
multiplicative,4.0,73.56645737039754,79.81927710843374,69.92119089316988,70.95890410958904
spikes,0.5,94.29192171126749,98.79518072289156,87.69702276707531,96.38356164383562
spikes,1.0,93.25873886352213,97.59036144578313,86.7338003502627,95.45205479452055
spikes,2.0,91.04845216337846,96.61144578313254,84.36952714535903,92.16438356164383
spikes,4.0,88.21065559168277,94.42771084337349,80.56042031523643,89.64383561643837
quantization,0.5,91.2945119007325,99.17168674698796,77.6707530647986,97.04109589041096
quantization,1.0,91.11887499136485,99.24698795180723,77.23292469352015,96.87671232876713
quantization,2.0,95.81790321326571,99.32228915662651,90.98073555166376,97.15068493150685
quantization,4.0,88.03282214576706,97.81626506024097,70.44658493870402,95.83561643835617
dropout,0.5,95.29343232392661,99.17168674698796,89.44833625218914,97.26027397260275
dropout,1.0,95.22404352433607,99.17168674698796,89.4045534150613,97.0958904109589
dropout,2.0,95.14089563638042,99.0210843373494,89.57968476357267,96.82191780821918
dropout,4.0,94.64501977875277,98.94578313253012,88.44133099824869,96.54794520547945
delay,0.5,94.03955488002919,98.87048192771084,87.30297723292469,95.94520547945206
delay,1.0,94.03955488002919,98.87048192771084,87.30297723292469,95.94520547945206
delay,2.0,93.18640483291995,98.71987951807229,85.55166374781086,95.28767123287672
delay,4.0,91.75831919670621,98.26807228915662,82.9246935201401,94.08219178082192
