vehicle_id,type,ai,shockwave_factor,n_steps,condition,share,seed
f_normal.100,normal,25.215405463140755,0.188871623668333,221,baseline,0.0,1
f_normal.101,normal,37.44126887585893,0.030889216846012015,270,baseline,0.0,1
f_normal.102,normal,37.85616532054975,0.03244440859433893,244,baseline,0.0,1
f_normal.103,normal,33.081057700701244,0.03806914009765413,94,baseline,0.0,1
f_normal.104,normal,35.688754901397516,0.03964320187353505,165,baseline,0.0,1
f_normal.105,normal,23.916914796645138,0.07519386751708293,89,baseline,0.0,1
f_normal.106,normal,30.465150141135325,0.07654823546090722,273,baseline,0.0,1
f_normal.107,normal,37.050520266269906,0.0343277845466624,279,baseline,0.0,1
f_normal.108,normal,38.5906469105617,0.036879505966387637,286,baseline,0.0,1
f_normal.109,normal,38.45333492851048,0.029367217291187502,284,baseline,0.0,1
f_normal.110,normal,36.703233942466255,0.03507023613041923,281,baseline,0.0,1
f_normal.111,normal,38.48381241957992,0.039919404898275286,274,baseline,0.0,1
f_normal.112,normal,35.3175350537675,0.03269693365835577,286,baseline,0.0,1
f_normal.113,normal,24.894605741949263,0.1415746543502296,254,baseline,0.0,1
f_normal.114,normal,37.555430959812185,0.028773860876144423,286,baseline,0.0,1
f_normal.115,normal,37.88667786044045,0.029356680246274667,285,baseline,0.0,1
f_normal.116,normal,33.25011370984316,0.0551940828934271,253,baseline,0.0,1
f_normal.117,normal,34.58750567239405,0.06265782455521195,209,baseline,0.0,1
f_normal.118,normal,38.78530814488323,0.025795916210263933,283,baseline,0.0,1
f_normal.119,normal,33.37260334723067,0.06025761800699278,222,baseline,0.0,1
f_normal.120,normal,38.315761528248174,0.02915547508952326,283,baseline,0.0,1
f_normal.121,normal,25.51351131943753,0.06774852285455632,254,baseline,0.0,1
f_normal.122,normal,34.04445584626841,0.06260554832955559,251,baseline,0.0,1
f_normal.123,normal,37.900504962739355,0.03189829780395566,280,baseline,0.0,1
f_normal.124,normal,36.87044311771668,0.02896256662496709,283,baseline,0.0,1
f_normal.125,normal,37.98073295801951,0.03075354932161458,281,baseline,0.0,1
f_normal.126,normal,25.52919917684541,0.06747545236826523,50,baseline,0.0,1
f_normal.127,normal,27.528324614638738,0.1055749038287472,192,baseline,0.0,1
f_normal.128,normal,31.717427758465345,0.06963806801754942,274,baseline,0.0,1
f_normal.129,normal,38.33031591342427,0.041170661280488116,183,baseline,0.0,1
f_normal.13,normal,20.59782018404489,0.15662217299164957,33,baseline,0.0,1
f_normal.130,normal,27.707238674269558,0.12938510649516421,271,baseline,0.0,1
f_normal.131,normal,36.18570845873101,0.028282741990969817,277,baseline,0.0,1
f_normal.132,normal,37.377962603797336,0.03984794211528175,284,baseline,0.0,1
f_normal.133,normal,36.2795383228306,0.04301645327993284,289,baseline,0.0,1
f_normal.134,normal,37.03853201384394,0.035140842375836076,266,baseline,0.0,1
f_normal.135,normal,29.607080482189332,0.09274847046702431,210,baseline,0.0,1
f_normal.136,normal,38.886878791512274,0.03961973768153135,291,baseline,0.0,1
f_normal.137,normal,35.90595616263587,0.03732414199745425,284,baseline,0.0,1
f_normal.138,normal,33.111965211338756,0.09713231378641159,272,baseline,0.0,1
f_normal.139,normal,38.12917662794777,0.0419190742688301,249,baseline,0.0,1
f_normal.14,normal,32.29575404324454,0.04527358777407712,42,baseline,0.0,1
f_normal.140,normal,38.681263434585944,0.041736743230753055,275,baseline,0.0,1
f_normal.141,normal,39.83577868169652,0.03833383893977564,242,baseline,0.0,1
f_normal.142,normal,27.100324944545058,0.09345539581280002,162,baseline,0.0,1
f_normal.143,normal,33.83384923894357,0.06733788902557958,277,baseline,0.0,1
f_normal.144,normal,40.45705266971019,0.03439470727124947,225,baseline,0.0,1
f_normal.145,normal,37.73216964305788,0.041838620387760414,304,baseline,0.0,1
f_normal.146,normal,39.455604460398305,0.02857481858119096,301,baseline,0.0,1
f_normal.147,normal,29.199991703741237,0.06848444822149877,155,baseline,0.0,1
f_normal.148,normal,40.399169145879476,0.03161268491281194,299,baseline,0.0,1
f_normal.149,normal,39.95892637121326,0.030852733277495607,296,baseline,0.0,1
f_normal.15,normal,30.46646699271497,0.037703340291800586,36,baseline,0.0,1
f_normal.150,normal,40.383182933710735,0.02813595843858249,300,baseline,0.0,1
f_normal.151,normal,39.028194817565385,0.033606612777149124,301,baseline,0.0,1
f_normal.152,normal,40.10937860948615,0.031026071893334093,301,baseline,0.0,1
f_normal.153,normal,30.268881160195996,0.056865050836312256,252,baseline,0.0,1
f_normal.154,normal,41.196085631845214,0.03701388310996757,252,baseline,0.0,1
f_normal.155,normal,40.09918434408387,0.030549401166424732,300,baseline,0.0,1
f_normal.156,normal,25.026579034034455,0.06714258158148331,223,baseline,0.0,1
f_normal.157,normal,40.2343050745367,0.03188576722077925,301,baseline,0.0,1
f_normal.158,normal,40.55449315101445,0.03600375320766946,300,baseline,0.0,1
f_normal.159,normal,43.100459974099465,0.04417227072275544,266,baseline,0.0,1
f_normal.16,normal,31.22182865722046,0.03349482094861436,36,baseline,0.0,1
f_normal.160,normal,25.62529140816085,0.06528982051836833,55,baseline,0.0,1
f_normal.161,normal,37.81157610983097,0.051956638044069324,307,baseline,0.0,1
f_normal.162,normal,38.421881551561405,0.046497831596733104,308,baseline,0.0,1
f_normal.163,normal,40.68992762359512,0.03388622690626393,306,baseline,0.0,1
f_normal.164,normal,41.22132569091033,0.039687636487984554,276,baseline,0.0,1
f_normal.165,normal,26.94483424606164,0.13533098468983626,70,baseline,0.0,1
f_normal.166,normal,41.728752902613806,0.036276702106509434,328,baseline,0.0,1
f_normal.167,normal,39.21130074124445,0.03257674121594818,314,baseline,0.0,1
f_normal.168,normal,35.36418776722346,0.053162739617289685,315,baseline,0.0,1
f_normal.169,normal,37.24138892054504,0.07723670736122308,318,baseline,0.0,1
f_normal.17,normal,31.478107255753486,0.04457615139895464,39,baseline,0.0,1
f_normal.170,normal,41.46595288483748,0.03438486284271419,317,baseline,0.0,1
f_normal.171,normal,39.61118606388095,0.03064284877930763,317,baseline,0.0,1
f_normal.172,normal,39.95478321387356,0.03350225590417059,319,baseline,0.0,1
f_normal.173,normal,28.118519013175177,0.17005464562030767,240,baseline,0.0,1
f_normal.174,normal,25.098121791397233,0.06991881594674529,261,baseline,0.0,1
f_normal.175,normal,40.904352792749904,0.036094204831694544,320,baseline,0.0,1
f_normal.176,normal,24.845391968269467,0.06897082315270804,239,baseline,0.0,1
f_normal.177,normal,42.46966989627852,0.03256568488963361,326,baseline,0.0,1
f_normal.178,normal,31.96283944705635,0.06387670099141013,258,baseline,0.0,1
