condition,share,seed,mean_speed,speed_std,throughput_veh_h,stop_and_go_vehicles,wave_speed_kmh,sf_normal,sf_aggressive,sf_conservative
baseline,0.0,1,20.17820061487065,8.36289439857859,2290.0,56,-19.47261663286004,0.049131610206068994,,
baseline,0.0,2,18.896337978060735,8.866071768607238,2340.0,76,-27.692307692307693,0.04937490076960617,,
aggressive,0.1,1,19.42544721133361,9.245054506799013,2180.0,119,-60.00000000000001,0.05388384646128771,0.032334581569624744,
aggressive,0.1,2,18.260281185828013,9.69836936469437,2290.0,159,-24.434389140271495,0.055224354045237005,0.032525504333198174,
aggressive,0.2,1,18.669428166152052,9.955550677352749,2170.0,151,-31.25,0.058466332165884066,0.032911160713221324,
aggressive,0.2,2,17.9331227242345,9.977831190901483,2160.0,160,-38.4,0.05980789169223329,0.03343118219103567,
aggressive,0.3,1,20.317202978922282,9.24734530877961,2240.0,114,-33.714285714285715,0.059663006211049974,0.037659486167282624,
aggressive,0.3,2,18.779553850803694,9.530183774533361,2300.0,140,-60.00000000000001,0.05817922388422615,0.03651112409920779,
conservative,0.1,1,19.122193930658558,7.540965905266383,2020.0,75,-57.69230769230769,0.04536483358358312,,0.12116229895273854
conservative,0.1,2,16.677884484714575,8.296096966597942,1970.0,139,-53.40659340659341,0.04555777286721989,,0.13422614341898126
conservative,0.2,1,17.28866435766862,7.981126057622498,1790.0,110,-54.0,0.04662786501653093,,0.0958515712528086
conservative,0.2,2,15.912541705872037,8.319493770089128,1780.0,138,-60.00000000000001,0.042591041720807604,,0.09740622992217715
conservative,0.3,1,16.29078970546028,8.000261679135816,1620.0,124,-60.00000000000001,0.047330507596649585,,0.08794749377168705
conservative,0.3,2,15.963740467855484,7.884849309306942,1670.0,119,-55.38461538461539,0.049117235819053584,,0.08217190841361985
