epoch,step,vehicle_id,speed_kmh,accel_ms2,prox_m,wave_m,ai_score,category
1,4,npc_0,82.05,0.0,119.35,0.0,14.96,Conservative
1,4,npc_1,71.39,0.0,30.65,0.0,23.3,Conservative
1,4,npc_10,72.72,0.0,159.72,0.0,11.75,Conservative
1,4,npc_11,79.79,0.0,280.49,0.0,14.15,Conservative
1,4,npc_12,85.72,0.0,69.19,0.0,16.33,Conservative
1,4,npc_13,74.44,0.0,60.21,0.0,12.32,Conservative
1,4,npc_14,67.27,0.0,209.18,0.0,10.05,Conservative
1,4,npc_2,85.93,0.0,81.43,0.0,16.41,Conservative
1,4,npc_3,78.08,0.0,180.29,0.0,13.55,Conservative
1,4,npc_4,63.74,0.0,161.33,0.0,9.03,Conservative
1,4,npc_5,79.66,0.0,120.73,0.0,14.1,Conservative
1,4,npc_6,76.62,0.0,230.1,0.0,13.05,Conservative
1,4,npc_7,69.26,0.0,339.29,0.0,10.66,Conservative
1,4,npc_8,74.42,0.0,90.18,0.0,12.31,Conservative
1,4,npc_9,76.86,0.0,40.64,0.0,15.93,Conservative
1,8,npc_0,84.74,7.481,118.18,0.0,35.96,Normal
1,8,npc_1,74.29,8.064,31.02,0.0,43.79,Normal
1,8,npc_10,75.25,7.01,159.95,0.0,32.58,Conservative
1,8,npc_11,82.84,8.459,281.54,0.0,35.25,Normal
1,8,npc_12,88.17,6.816,67.27,0.0,37.28,Normal
1,8,npc_13,76.76,6.426,60.4,0.0,33.09,Conservative
1,8,npc_14,70.09,7.852,208.79,0.0,30.92,Conservative
1,8,npc_2,86.01,0.205,83.14,0.0,17.26,Conservative
1,8,npc_3,80.96,8.013,181.27,0.0,34.57,Conservative
1,8,npc_4,66.9,8.753,162.06,0.0,29.94,Conservative
1,8,npc_5,81.13,4.091,121.71,0.0,30.99,Conservative
1,8,npc_6,79.32,7.492,230.83,0.0,33.98,Conservative
1,8,npc_7,72.13,7.956,339.22,0.0,31.56,Conservative
1,8,npc_8,77.27,7.933,89.66,0.0,33.27,Conservative
1,8,npc_9,76.26,-1.668,40.91,0.0,22.24,Conservative
1,12,npc_0,87.89,8.761,116.54,0.0,37.17,Normal
1,12,npc_1,76.89,7.227,30.61,0.0,45.17,Normal
1,12,npc_10,78.5,9.049,160.54,0.0,33.7,Conservative
1,12,npc_11,85.55,7.523,282.93,0.0,36.26,Normal
1,12,npc_12,91.0,7.857,65.28,0.0,38.4,Normal
1,12,npc_13,79.27,6.967,61.09,0.0,33.96,Conservative
1,12,npc_14,73.05,8.203,208.78,0.0,31.86,Conservative
1,12,npc_2,87.15,3.18,84.76,0.0,29.6,Conservative
1,12,npc_3,83.33,6.576,182.34,0.0,35.43,Normal
1,12,npc_4,69.51,7.263,162.44,0.0,30.74,Conservative
1,12,npc_5,83.0,5.189,122.85,0.0,35.31,Normal
1,12,npc_6,81.9,7.163,231.81,0.0,34.9,Conservative
1,12,npc_7,74.66,7.036,339.42,0.0,32.39,Conservative
1,12,npc_8,79.68,6.677,88.91,0.0,34.11,Conservative
1,12,npc_9,78.42,5.999,41.54,0.0,35.96,Normal
1,16,npc_0,90.49,7.218,114.81,0.0,38.2,Normal
1,16,npc_1,79.16,6.306,30.77,0.0,45.76,Normal
1,16,npc_10,80.87,6.567,161.41,1.386,71.48,Aggressive
1,16,npc_11,87.84,6.369,284.62,0.0,37.15,Normal
1,16,npc_12,90.71,-0.814,63.07,0.0,21.54,Conservative
1,16,npc_13,82.15,7.997,62.02,0.0,35.0,Conservative
1,16,npc_14,75.61,7.111,209.03,0.0,32.7,Conservative
1,16,npc_2,88.64,4.123,86.84,0.0,33.95,Conservative
1,16,npc_3,85.83,6.946,183.86,1.6,76.37,Aggressive
1,16,npc_4,72.45,8.175,162.59,0.0,31.67,Conservative
1,16,npc_5,85.19,6.091,124.35,0.0,36.13,Normal
1,16,npc_6,84.35,6.826,233.15,0.0,35.81,Normal
1,16,npc_7,77.55,8.023,339.95,0.0,33.36,Conservative
1,16,npc_8,81.99,6.423,87.96,0.0,34.94,Conservative
1,16,npc_9,81.33,8.064,42.57,0.0,36.46,Normal
1,20,npc_0,93.13,7.336,113.35,0.0,39.27,Normal
1,20,npc_1,81.94,7.709,30.6,0.0,46.96,Normal
1,20,npc_10,83.5,7.3,161.79,1.568,75.49,Aggressive
1,20,npc_11,90.62,7.717,285.77,0.0,38.25,Normal
1,20,npc_12,92.57,5.188,61.69,0.0,39.04,Normal
1,20,npc_13,84.96,7.815,62.53,0.0,36.04,Normal
1,20,npc_14,78.46,7.937,208.85,0.0,33.68,Conservative
1,20,npc_2,90.69,5.705,88.02,0.0,38.28,Normal
1,20,npc_3,88.67,7.88,184.78,1.568,77.47,Aggressive
1,20,npc_4,74.92,6.853,163.16,0.0,32.47,Conservative
1,20,npc_5,88.09,8.071,125.22,0.0,37.25,Normal
1,20,npc_6,86.94,7.195,233.91,0.0,36.8,Normal
1,20,npc_7,79.93,6.621,339.94,0.0,34.2,Conservative
1,20,npc_8,84.81,7.848,87.46,0.0,35.98,Normal
1,20,npc_9,83.61,6.348,42.97,0.0,37.12,Normal
1,24,npc_0,96.19,8.499,111.59,0.0,40.56,Normal
1,24,npc_1,85.13,8.855,30.1,0.0,48.77,Normal
1,24,npc_10,86.04,7.074,162.45,1.6,76.45,Aggressive
1,24,npc_11,93.05,6.751,287.22,0.0,39.24,Normal
1,24,npc_12,93.54,2.691,60.08,0.0,30.21,Conservative
1,24,npc_13,87.57,7.262,63.35,0.0,37.04,Normal
1,24,npc_14,80.79,6.466,208.93,0.0,34.5,Conservative
1,24,npc_2,92.94,6.246,89.44,0.0,39.19,Normal
1,24,npc_3,91.44,7.702,186.04,1.508,78.58,Aggressive
1,24,npc_4,77.97,8.467,163.43,0.0,33.51,Conservative
1,24,npc_5,91.15,8.478,126.42,0.0,38.46,Normal
1,24,npc_6,89.74,7.774,234.96,0.0,37.9,Normal
1,24,npc_7,82.46,7.014,340.18,0.0,35.11,Normal
1,24,npc_8,87.3,6.921,86.66,0.0,36.94,Normal
1,24,npc_9,85.78,6.016,43.61,0.0,37.66,Normal
1,28,npc_0,98.84,7.364,108.51,1.12,71.57,Aggressive
1,28,npc_1,88.11,8.279,28.54,0.0,51.99,Normal
1,28,npc_10,89.12,8.534,164.22,1.584,77.65,Aggressive
1,28,npc_11,95.79,7.622,289.74,0.0,40.39,Normal
1,28,npc_12,88.68,-13.515,57.95,0.0,37.48,Normal
1,28,npc_13,90.93,9.319,65.32,0.0,38.37,Normal
1,28,npc_14,83.55,7.678,210.1,0.0,35.51,Normal
1,28,npc_2,95.28,6.515,91.92,0.0,40.18,Normal
1,28,npc_3,93.98,7.055,188.38,1.446,78.18,Aggressive
1,28,npc_4,80.6,7.31,162.58,0.0,34.44,Conservative
1,28,npc_5,94.1,8.214,128.75,0.0,39.68,Normal
1,28,npc_6,92.66,8.095,237.15,0.0,39.08,Normal
1,28,npc_7,85.73,9.096,341.57,0.0,36.33,Normal
1,28,npc_8,89.76,6.823,84.8,0.0,37.9,Normal
1,28,npc_9,88.28,6.948,45.33,0.0,38.02,Normal
1,32,npc_0,94.82,-11.182,104.91,1.386,76.93,Aggressive
1,32,npc_1,90.5,6.648,25.97,0.0,56.68,Normal
1,32,npc_10,91.69,7.162,167.11,1.549,78.68,Aggressive
1,32,npc_11,98.99,8.886,293.4,0.0,41.78,Normal
1,32,npc_12,82.66,-16.729,55.7,0.0,35.18,Normal
1,32,npc_13,93.45,7.007,68.39,0.0,39.41,Normal
1,32,npc_14,86.3,7.62,212.36,0.0,36.55,Normal
1,32,npc_2,97.79,6.974,95.46,0.0,41.25,Normal
1,32,npc_3,96.77,7.75,191.82,1.386,77.76,Aggressive
1,32,npc_4,83.58,8.28,160.61,0.0,35.52,Normal
1,32,npc_5,97.01,8.085,132.2,0.0,40.92,Normal
1,32,npc_6,95.63,8.27,240.46,0.0,40.32,Normal
1,32,npc_7,88.27,7.06,344.07,0.0,37.32,Normal
1,32,npc_8,84.28,-15.237,82.38,0.0,35.78,Normal
1,32,npc_9,91.13,7.934,48.14,0.0,38.57,Normal
1,36,npc_0,88.34,-18.0,102.83,1.508,77.34,Aggressive
1,36,npc_1,93.51,8.357,23.89,0.0,61.25,Normal
1,36,npc_10,94.31,7.278,169.46,1.508,79.77,Aggressive
1,36,npc_11,101.98,8.305,296.61,0.0,43.11,Normal
1,36,npc_12,84.42,4.899,54.45,0.0,35.43,Normal
1,36,npc_13,96.34,8.016,70.98,0.0,40.62,Normal
1,36,npc_14,89.08,7.734,214.14,0.0,37.63,Normal
1,36,npc_2,99.93,5.939,98.46,0.0,42.19,Normal
1,36,npc_3,99.09,6.445,194.72,1.33,77.3,Aggressive
1,36,npc_4,86.36,7.722,159.13,0.0,36.57,Normal
1,36,npc_5,99.44,6.726,135.15,0.0,41.97,Normal
1,36,npc_6,95.51,-0.356,243.07,0.0,21.7,Conservative
1,36,npc_7,90.69,6.707,346.06,0.0,38.28,Normal
1,36,npc_8,83.45,-2.285,81.19,0.0,24.62,Conservative
