epoch,step,vehicle_id,speed_kmh,accel_ms2,prox_m,wave_m,ai_score,category
1,3,cross_0,41.93,0.0,245.68,0.0,3.91,Conservative
1,6,cross_0,44.2,6.303,240.45,0.0,24.34,Conservative
1,9,cross_0,46.55,6.529,234.9,0.0,24.82,Conservative
1,12,cross_0,46.73,0.483,229.28,4.231,46.78,Normal
1,15,cross_0,46.78,0.157,223.68,5.401,45.49,Normal
1,18,cross_0,46.86,0.223,218.07,6.559,45.77,Normal
1,21,cross_0,46.7,-0.459,212.48,7.708,46.68,Normal
1,21,cross_1,33.17,0.0,232.93,0.0,2.45,Conservative
1,24,cross_0,46.66,-0.111,206.9,8.851,45.28,Normal
1,24,cross_1,35.29,5.876,228.27,0.0,22.77,Conservative
1,27,cross_0,46.88,0.627,201.82,9.992,47.39,Normal
1,27,cross_1,37.51,6.182,223.94,0.0,23.13,Conservative
1,30,cross_0,46.71,-0.483,197.25,11.129,46.78,Normal
1,30,cross_1,40.02,6.974,219.9,3.431,63.56,Normal
1,33,cross_0,46.82,0.295,192.17,12.264,46.05,Normal
1,33,cross_1,42.23,6.118,215.24,4.48,63.96,Normal
1,36,cross_0,46.71,-0.294,187.6,13.398,46.03,Normal
1,36,cross_1,44.51,6.355,210.87,5.577,64.4,Normal
1,39,cross_0,46.66,-0.151,183.03,14.53,45.44,Normal
1,39,cross_1,46.82,6.397,206.35,6.726,64.87,Normal
1,42,cross_0,46.78,0.347,177.95,15.661,46.25,Normal
1,42,cross_1,49.27,6.812,201.19,7.93,65.39,Normal
1,45,cross_0,46.77,-0.025,172.38,16.791,44.96,Normal
1,45,cross_1,50.37,3.071,195.46,9.182,57.92,Normal
1,48,cross_0,46.8,0.064,167.31,17.922,45.12,Normal
1,48,cross_1,50.28,-0.274,190.18,10.453,46.71,Normal
1,51,cross_0,46.72,-0.208,162.73,19.052,45.68,Normal
1,51,cross_1,50.33,0.139,185.35,11.732,46.18,Normal
1,51,cross_2,43.95,0.0,219.3,0.0,4.29,Conservative
1,54,cross_0,46.9,0.511,158.65,20.181,46.93,Normal
1,54,cross_1,50.31,-0.055,180.97,13.011,45.84,Normal
1,54,cross_2,46.2,6.26,215.23,0.0,24.74,Conservative
1,57,cross_0,46.72,-0.525,154.08,21.31,46.95,Normal
1,57,cross_1,50.4,0.25,176.14,14.289,46.64,Normal
1,57,cross_2,48.42,6.146,210.63,0.0,25.21,Conservative
1,60,cross_0,46.73,0.051,149.5,22.439,45.06,Normal
1,60,cross_1,50.16,-0.658,171.31,15.563,48.22,Normal
1,60,cross_2,50.27,5.15,205.86,4.441,65.62,Normal
1,63,cross_0,46.82,0.232,144.43,23.567,45.8,Normal
