environment,metric_1,metric_2,metric_3,metric_4,ground_truth
highway,0.3745401188473625,0.4753571532049581,0.7319939418114051,0.11973169683940732,0.8
urban,0.44583275285359114,0.09997491581800289,0.22962444598293358,0.10011258334170654,1.0
weather,0.7080725777960455,0.020584494295802447,0.38796394086479774,0.8324426408004217,0.1
highway,0.0007787658410143283,0.49610577964560876,0.6174815096277165,0.12233063209765618,0.0
urban,0.43194501864211576,0.2912291401980419,0.30592644736118974,0.04184815819561255,1.0
weather,0.9737555188414592,0.23277134043030423,0.03624257381312832,0.6183860093330873,1.0
highway,0.5142344384136116,0.29620728443102123,0.046450412719997725,0.12150897038028768,0.0
urban,0.450499251969543,0.013264961159866528,0.4711008778424264,0.16898646535366177,0.3
weather,0.3046137691733707,0.09767211400638387,0.2736932106048628,0.4401524937396013,0.9
highway,0.6099966577826209,0.41659745586808217,0.17336465350777208,0.07821212151464817,0.2
urban,0.662522284353982,0.31171107608941095,0.2600340105889054,0.16401308380298388,0.3
weather,0.03131329245555858,0.8422847745949985,0.17990165334790628,0.3951502360018144,1.0
highway,0.5978999788110851,0.4609371175115584,0.0884925020519195,0.039196572483829045,0.0
urban,0.9611720243493491,0.8445338486781514,0.37366005506869043,0.16190763971672392,1.0
weather,0.3567533266935893,0.28093450968738076,0.2170784332632994,0.14092422497476265,0.9
highway,0.1652669390630025,0.007818203370596966,0.4234014807063696,0.07897630363511395,1.0
urban,0.005522117123602399,0.8154614284548342,0.35342867192380856,0.21870215041229618,0.0
weather,0.6059599747810114,0.926300878513349,0.2604308102007778,0.9149596755437808,0.0
highway,0.6232981268275579,0.1654490124263246,0.06355835028602363,0.062196464343132446,1.0
urban,0.6659223566174967,0.5912977877077271,0.13736089649503208,0.16837302775431034,0.7
weather,0.1195942459383017,0.713244787222995,0.304314019446759,0.5612771975694962,0.9
highway,0.25606832276132396,0.020216794769215674,0.7106628896857874,0.022178164162366266,1.0
urban,0.10789142699330445,0.03142918568673425,0.3182052056318902,0.094306794322898,1.0
weather,0.6955160864261275,0.1393314544058757,0.24176695171112692,0.5398410913016731,0.0
highway,0.22879816549162246,0.038489954914396496,0.289751452913768,0.03224425745080089,0.2
urban,0.6243540481337932,0.295633685837714,0.052747129915135305,0.13696037114487306,1.0
weather,0.18657005888603584,0.8925589984899778,0.2157368967662603,0.8074401551640625,1.0
highway,0.3562978380769749,0.453414220772877,0.2721322493846353,0.12953802410827248,0.0
urban,0.8180147659224931,0.8607305832563434,0.0034760652655953517,0.1532241907732697,0.0
weather,0.4848299713589832,0.6924360328902703,0.10776493351940859,0.24412552224777417,0.9
highway,0.32320293202075523,0.25939531087168305,0.7030189588951778,0.0727259204758588,0.0
urban,0.2539154139343447,0.2468760628386012,0.3481521364198942,0.2136811769773326,0.0
weather,0.2848404943774676,0.036886947354532795,0.24382573359195875,0.5026790232288615,0.1
highway,0.033050732900548385,0.1725356240133415,0.6343513447013638,0.13614109031095337,0.0
urban,0.489452760277563,0.9856504541106007,0.1210276357557502,0.20164066422176355,0.7
weather,0.36965445606140446,0.24215993827742588,0.32125590255195835,0.4703006344460384,0.1
