Timestamp,Vehicle_ID,Speed_kmh,Accel_ms2,Proximity_m,Waviness_m,AI_Score,Category
1,24416,76.35,-35.54,46.62,0.0,21.31,Conservative
1,22144,76.78,-13.63,70.91,0.0,18.39,Conservative
1,43200,76.54,-1.42,100.0,0.0,10.39,Conservative
1,71760,76.84,-34.1,46.63,0.0,21.39,Conservative
1,37088,73.43,-21.26,49.87,0.0,17.88,Conservative
1,34608,73.08,-42.13,44.59,0.0,22.51,Conservative
1,27840,78.67,-16.26,68.46,0.0,18.75,Conservative
1,28848,62.18,-62.29,26.22,0.0,37.02,Normal
1,70368,73.04,-26.87,45.34,0.0,21.84,Conservative
1,70416,76.04,-7.67,94.71,0.0,18.25,Conservative
1,38672,76.31,-24.1,50.98,0.0,18.3,Conservative
1,31792,76.63,-0.28,100.0,0.0,7.88,Conservative
1,67392,76.69,-33.35,47.2,0.0,20.86,Conservative
1,67344,70.5,-23.11,50.47,0.0,17.25,Conservative
1,69520,75.76,-11.24,75.55,0.0,18.2,Conservative
1,75616,65.66,-70.96,27.23,-0.57,41.4,Normal
1,74080,73.0,-38.79,45.24,-0.4,25.25,Conservative
1,16992,64.0,-62.61,25.49,4.44,54.62,Normal
2,24416,72.73,-15.12,47.08,0.0,20.24,Conservative
2,22144,74.82,-8.14,69.89,0.0,18.02,Conservative
2,43200,75.38,-4.85,96.45,0.0,17.8,Conservative
2,71760,71.65,-21.63,45.4,0.0,21.54,Conservative
2,37088,71.65,-7.4,100.0,0.0,17.45,Conservative
2,34608,66.66,-26.74,41.82,0.0,23.87,Conservative
2,27840,77.84,-3.48,100.0,1.68,29.22,Conservative
2,28848,58.13,-16.9,29.43,0.0,33.57,Normal
2,70368,69.89,-13.12,46.23,0.0,20.49,Conservative
2,70416,74.77,-5.3,92.74,0.0,18.01,Conservative
2,38672,73.01,-13.73,51.04,0.0,17.69,Conservative
2,31792,75.26,-5.74,95.06,0.0,18.1,Conservative
2,67392,73.13,-14.84,47.27,0.0,20.14,Conservative
2,67344,66.03,-18.62,78.43,0.0,16.49,Conservative
2,69520,74.44,-5.5,75.83,0.0,17.95,Conservative
2,75616,59.42,-25.99,73.48,3.8,32.14,Normal
2,74080,71.47,-6.36,73.5,-0.35,20.31,Conservative
2,16992,68.32,18.02,100.0,0.87,24.11,Conservative
3,24416,70.96,-7.34,47.96,0.0,19.14,Conservative
3,22144,73.71,-4.63,69.05,0.0,16.99,Conservative
3,43200,74.57,-3.38,97.31,0.0,14.38,Conservative
3,71760,67.93,-15.5,43.93,0.0,22.2,Conservative
3,37088,69.89,-7.36,61.87,0.0,17.14,Conservative
3,34608,63.56,-12.92,72.5,0.0,16.1,Conservative
3,27840,78.26,1.76,100.0,0.17,12.89,Conservative
3,28848,59.67,6.44,58.24,1.94,31.64,Normal
3,70368,68.23,-6.91,47.07,0.0,19.47,Conservative
3,70416,73.88,-3.71,90.36,0.0,14.98,Conservative
3,38672,71.11,-7.93,51.09,0.0,17.35,Conservative
3,31792,73.4,-7.76,91.53,0.0,17.76,Conservative
3,67392,71.44,-7.06,47.79,0.0,19.38,Conservative
3,67344,66.8,3.2,80.34,0.0,12.61,Conservative
3,69520,73.79,-2.72,76.38,0.0,12.76,Conservative
3,75616,64.48,21.08,75.94,0.64,21.59,Conservative
3,74080,73.71,9.31,75.81,-0.04,18.13,Conservative
3,16992,72.51,17.44,100.0,0.09,18.37,Conservative
4,24416,70.17,-3.3,49.02,0.0,14.29,Conservative
4,22144,72.85,-3.6,67.89,0.0,14.56,Conservative
4,43200,74.15,-1.72,98.42,0.0,10.61,Conservative
4,71760,66.32,-6.68,43.58,0.0,22.24,Conservative
4,37088,68.51,-5.75,59.8,0.0,16.9,Conservative
4,34608,67.9,18.11,73.07,0.0,16.8,Conservative
4,27840,78.42,0.65,100.0,0.02,9.16,Conservative
4,28848,63.82,17.28,61.57,0.25,18.24,Conservative
4,70368,67.36,-3.61,47.84,0.0,15.55,Conservative
4,70416,73.48,-1.69,88.73,0.0,10.42,Conservative
4,38672,70.03,-4.52,51.22,0.0,16.09,Conservative
4,31792,72.64,-3.14,89.69,0.0,13.49,Conservative
4,67392,70.67,-3.18,48.51,0.0,14.55,Conservative
4,67344,68.8,8.35,82.17,0.0,16.95,Conservative
4,69520,73.48,-1.28,77.06,0.0,9.51,Conservative
4,75616,68.34,16.07,78.02,0.07,17.49,Conservative
4,74080,75.11,5.83,77.62,-0.0,18.11,Conservative
4,16992,75.2,11.23,100.0,0.01,18.17,Conservative
