t,scenario,vehicle_id,vtype,speed,accel,prox,wave,jerk,slip,density,friction,road_type,crashed
0.0670,highway,ego,ego,37.0458,-2.3956,93.064,0.0000,-35.9340,0.0042,6.000,1.0,highway,0
0.0670,highway,f_r_hw_aggressive.1,aggressive,40.0223,-2.2939,71.604,0.0000,-34.4082,0.0037,6.000,1.0,highway,0
0.0670,highway,f_r_hw_conservative.1,conservative,32.8598,1.0405,100.000,0.0000,-0.2008,0.1339,6.000,1.0,highway,0
0.0670,highway,f_r_hw_conservative.2,conservative,29.3888,-0.0069,360.122,0.0000,0.0001,0.0000,6.000,1.0,highway,0
0.0670,highway,f_r_hw_conservative.3,conservative,24.4849,-0.1663,196.101,0.0000,0.0719,0.0004,6.000,1.0,highway,0
0.0670,highway,f_r_hw_normal.10,normal,31.7674,0.0372,58.783,0.0000,-0.0039,0.0001,6.000,1.0,highway,0
0.0670,highway,f_r_hw_normal.11,normal,32.3261,-0.0274,65.706,0.0000,0.0077,0.0001,6.000,1.0,highway,0
0.0670,highway,f_r_hw_normal.12,normal,24.1359,0.0002,166.266,0.0000,-0.0000,0.0000,6.000,1.0,highway,0
0.0670,highway,f_r_hw_normal.13,normal,24.5520,-0.1461,28.299,0.0000,0.0603,0.0004,6.000,1.0,highway,0
0.0670,highway,f_r_hw_normal.14,normal,27.4984,-0.4380,467.209,0.7504,0.0710,0.0025,6.000,1.0,highway,0
0.0670,highway,f_r_hw_normal.15,normal,33.6588,-1.6954,309.611,0.0000,0.5588,0.0023,6.000,1.0,highway,0
0.0670,highway,f_r_hw_normal.16,normal,24.9735,-0.0102,38.209,0.0000,-0.1531,0.0000,6.000,1.0,highway,0
0.0670,highway,f_r_hw_normal.4,normal,25.4765,0.0004,100.000,0.0000,-0.0002,0.0000,6.000,1.0,highway,0
0.0670,highway,f_r_hw_normal.5,normal,35.1248,0.0025,100.000,0.0000,-0.0008,0.0002,6.000,1.0,highway,0
0.0670,highway,f_r_hw_normal.6,normal,35.6390,-0.0096,91.378,0.0000,-0.0014,0.0000,6.000,1.0,highway,0
0.0670,highway,f_r_hw_normal.7,normal,31.4160,0.0052,153.724,0.0000,-0.0007,0.0000,6.000,1.0,highway,0
0.0670,highway,f_r_hw_normal.8,normal,30.9866,0.0029,274.340,0.0000,0.0078,0.0000,6.000,1.0,highway,0
0.0670,highway,f_r_hw_normal.9,normal,32.2377,0.0146,142.957,0.0000,-0.0072,0.0000,6.000,1.0,highway,0
0.1340,highway,ego,ego,36.8899,-2.3258,92.433,0.0000,1.0467,0.0041,6.000,1.0,highway,0
0.1340,highway,f_r_hw_aggressive.1,aggressive,39.7736,-3.7112,71.186,0.0000,-21.2593,0.0035,6.000,1.0,highway,0
0.1340,highway,f_r_hw_conservative.1,conservative,32.9286,1.0272,100.000,0.0000,-0.1996,0.1315,6.000,1.0,highway,0
0.1340,highway,f_r_hw_conservative.2,conservative,29.3883,-0.0069,359.860,0.0000,0.0001,0.0000,6.000,1.0,highway,0
0.1340,highway,f_r_hw_conservative.3,conservative,24.4741,-0.1617,196.106,0.0000,0.0697,0.0004,6.000,1.0,highway,0
0.1340,highway,f_r_hw_normal.10,normal,31.7699,0.0369,58.814,0.0000,-0.0039,0.0001,6.000,1.0,highway,0
0.1340,highway,f_r_hw_normal.11,normal,32.3243,-0.0269,65.669,0.0000,0.0075,0.0001,6.000,1.0,highway,0
0.1340,highway,f_r_hw_normal.12,normal,24.1359,0.0002,166.814,0.0000,-0.0000,0.0000,6.000,1.0,highway,0
0.1340,highway,f_r_hw_normal.13,normal,24.5425,-0.1422,28.271,0.0000,0.0584,0.0004,6.000,1.0,highway,0
0.1340,highway,f_r_hw_normal.14,normal,27.4694,-0.4333,467.444,0.8576,0.0696,0.0026,6.000,1.0,highway,0
0.1340,highway,f_r_hw_normal.15,normal,33.5476,-1.6596,309.333,0.0000,0.5362,0.0023,6.000,1.0,highway,0
0.1340,highway,f_r_hw_normal.16,normal,24.6720,-4.5000,39.027,0.0000,-67.3469,0.0003,6.000,1.0,highway,0
0.1340,highway,f_r_hw_normal.4,normal,25.4765,0.0004,100.000,0.0000,-0.0002,0.0000,6.000,1.0,highway,0
0.1340,highway,f_r_hw_normal.5,normal,35.1250,0.0025,100.000,0.0000,-0.0007,0.0002,6.000,1.0,highway,0
0.1340,highway,f_r_hw_normal.6,normal,35.6384,-0.0097,91.344,0.0000,-0.0014,0.0000,6.000,1.0,highway,0
0.1340,highway,f_r_hw_normal.7,normal,31.4164,0.0052,154.007,0.0000,-0.0007,0.0000,6.000,1.0,highway,0
0.1340,highway,f_r_hw_normal.8,normal,30.9868,0.0034,274.470,0.0000,0.0074,0.0000,6.000,1.0,highway,0
0.1340,highway,f_r_hw_normal.9,normal,32.2386,0.0141,142.902,0.0000,-0.0070,0.0000,6.000,1.0,highway,0
0.2010,highway,ego,ego,36.7386,-2.2594,91.810,0.0000,0.9965,0.0040,6.000,1.0,highway,0
0.2010,highway,f_r_hw_aggressive.1,aggressive,39.5378,-3.5196,70.778,0.0000,2.8729,0.0033,6.000,1.0,highway,0
0.2010,highway,f_r_hw_conservative.1,conservative,32.9966,1.0140,100.000,0.0000,-0.1983,0.1292,6.000,1.0,highway,0
0.2010,highway,f_r_hw_conservative.2,conservative,29.3878,-0.0068,359.598,0.0000,0.0000,0.0000,6.000,1.0,highway,0
0.2010,highway,f_r_hw_conservative.3,conservative,24.4636,-0.1572,196.110,0.0000,0.0675,0.0004,6.000,1.0,highway,0
0.2010,highway,f_r_hw_normal.10,normal,31.7723,0.0367,58.846,0.0000,-0.0040,0.0001,6.000,1.0,highway,0
0.2010,highway,f_r_hw_normal.11,normal,32.3225,-0.0264,65.632,0.0000,0.0073,0.0001,6.000,1.0,highway,0
0.2010,highway,f_r_hw_normal.12,normal,24.1359,0.0002,167.363,0.0000,-0.0000,0.0000,6.000,1.0,highway,0
0.2010,highway,f_r_hw_normal.13,normal,24.5332,-0.1384,28.245,0.0000,0.0566,0.0004,6.000,1.0,highway,0
0.2010,highway,f_r_hw_normal.14,normal,27.4406,-0.4288,467.682,0.9648,0.0682,0.0026,6.000,1.0,highway,0
0.2010,highway,f_r_hw_normal.15,normal,33.4387,-1.6253,309.061,0.0000,0.5148,0.0023,6.000,1.0,highway,0
0.2010,highway,f_r_hw_normal.16,normal,24.4741,-2.9534,39.849,0.0000,23.1997,0.0005,6.000,1.0,highway,0
0.2010,highway,f_r_hw_normal.4,normal,25.4766,0.0004,100.000,0.0000,-0.0002,0.0000,6.000,1.0,highway,0
0.2010,highway,f_r_hw_normal.5,normal,35.1252,0.0024,100.000,0.0000,-0.0007,0.0002,6.000,1.0,highway,0
0.2010,highway,f_r_hw_normal.6,normal,35.6377,-0.0097,91.309,0.0000,-0.0013,0.0000,6.000,1.0,highway,0
0.2010,highway,f_r_hw_normal.7,normal,31.4167,0.0052,154.289,0.0000,-0.0007,0.0000,6.000,1.0,highway,0
0.2010,highway,f_r_hw_normal.8,normal,30.9871,0.0038,274.605,0.0000,0.0070,0.0000,6.000,1.0,highway,0
0.2010,highway,f_r_hw_normal.9,normal,32.2395,0.0137,142.847,0.0000,-0.0069,0.0000,6.000,1.0,highway,0
0.2680,highway,ego,ego,36.5914,-2.1961,91.195,0.0000,0.9493,0.0039,6.000,1.0,highway,0
0.2680,highway,f_r_hw_aggressive.1,aggressive,39.3137,-3.3449,70.377,0.0000,2.6210,0.0031,6.000,1.0,highway,0
0.2680,highway,f_r_hw_conservative.1,conservative,33.0636,1.0008,100.000,0.0000,-0.1969,0.1269,6.000,1.0,highway,0
