t,scenario,vehicle_id,vtype,speed,accel,prox,wave,jerk,slip,density,friction,road_type,crashed
0.0670,intersection,ego,ego,15.4876,-0.2655,94.288,0.0000,-3.9824,0.0011,34.283,1.0,urban,0
0.0670,intersection,f_r_en_aggressive.0,aggressive,0.0000,0.0000,100.000,0.0000,0.0000,0.0000,31.646,1.0,urban,0
0.0670,intersection,f_r_en_conservative.0,conservative,0.0000,0.0000,0.000,0.0000,0.0000,0.0000,31.646,1.0,urban,0
0.0670,intersection,f_r_en_normal.0,normal,0.0000,0.0000,0.000,0.0000,0.0000,0.0000,31.646,1.0,urban,0
0.0670,intersection,f_r_en_normal.1,normal,10.1344,-1.2158,23.879,0.0000,-0.6517,0.0000,31.646,1.0,urban,0
0.0670,intersection,f_r_es_aggressive.0,aggressive,0.0000,0.0000,100.000,0.0000,0.0000,0.0000,31.646,1.0,urban,0
0.0670,intersection,f_r_es_conservative.0,conservative,0.0000,-0.0001,0.000,0.0000,-0.0014,0.0000,31.646,1.0,urban,0
0.0670,intersection,f_r_es_normal.0,normal,0.0000,-0.0000,0.000,0.0000,0.0000,0.0000,31.646,1.0,urban,0
0.0670,intersection,f_r_es_normal.1,normal,10.5360,-0.6884,31.971,0.0000,-0.3715,0.0000,31.646,1.0,urban,0
0.0670,intersection,f_r_ew_aggressive.0,aggressive,0.0000,0.0000,0.000,0.0000,0.0000,0.0000,31.646,1.0,urban,0
0.0670,intersection,f_r_ew_conservative.0,conservative,0.0003,-0.0003,0.000,0.0000,0.0002,0.0000,31.646,1.0,urban,0
0.0670,intersection,f_r_ew_normal.0,normal,0.0000,0.0000,0.000,0.0000,0.0000,0.0000,31.646,1.0,urban,0
0.0670,intersection,f_r_ew_normal.1,normal,11.7636,-0.6853,14.491,0.0000,-0.3421,0.0040,31.646,1.0,urban,0
0.0670,intersection,f_r_ne_conservative.0,conservative,13.9666,0.0031,100.000,0.0000,-0.0024,0.0003,10.549,1.0,urban,0
0.0670,intersection,f_r_ne_normal.0,normal,12.7694,0.0214,39.198,0.0000,-0.0030,0.0001,10.549,1.0,urban,0
0.0670,intersection,f_r_ne_normal.1,normal,12.1889,-0.3108,206.942,0.0000,-0.1449,0.0036,7.911,1.0,urban,0
