t,scenario,vehicle_id,vtype,speed,accel,prox,wave,jerk,slip,density,friction,road_type,crashed
0.0670,low_friction,ego,ego,37.1218,-1.2611,79.730,0.0000,-18.9171,0.0022,5.333,0.4,highway,0
0.0670,low_friction,f_r_hw_aggressive.1,aggressive,35.4526,-0.8527,153.799,0.0000,0.1181,0.0004,5.333,0.4,highway,0
0.0670,low_friction,f_r_hw_conservative.2,conservative,29.0700,-0.0139,342.874,0.0000,0.0002,0.0000,5.333,0.4,highway,0
0.0670,low_friction,f_r_hw_conservative.3,conservative,24.1924,0.0539,234.961,0.0000,-0.0040,0.0002,5.333,0.4,highway,0
0.0670,low_friction,f_r_hw_normal.10,normal,33.0194,-0.0182,164.734,0.0000,0.0006,0.0000,5.333,0.4,highway,0
0.0670,low_friction,f_r_hw_normal.11,normal,32.3439,0.0059,87.119,0.0000,0.0013,0.0000,5.333,0.4,highway,0
0.0670,low_friction,f_r_hw_normal.12,normal,24.1363,0.0001,206.825,0.0000,-0.0000,0.0000,5.333,0.4,highway,0
0.0670,low_friction,f_r_hw_normal.13,normal,22.5734,0.1854,30.896,0.0000,-0.0130,0.0005,5.333,0.4,highway,0
0.0670,low_friction,f_r_hw_normal.14,normal,27.0438,0.5614,258.096,0.0000,-0.0662,0.0014,5.333,0.4,highway,0
0.0670,low_friction,f_r_hw_normal.15,normal,35.3959,-0.8450,546.643,0.3216,0.1159,0.0008,5.333,0.4,highway,0
0.0670,low_friction,f_r_hw_normal.16,normal,24.9741,-0.0006,113.175,0.0000,-0.0092,0.0000,5.333,0.4,highway,0
0.0670,low_friction,f_r_hw_normal.4,normal,25.4761,0.0003,100.000,0.0000,-0.0001,0.0001,5.333,0.4,highway,0
0.0670,low_friction,f_r_hw_normal.6,normal,36.5718,0.1267,100.000,0.0000,-0.0165,0.0257,5.333,0.4,highway,0
0.0670,low_friction,f_r_hw_normal.7,normal,31.3350,0.0251,112.148,0.0000,-0.0030,0.0001,5.333,0.4,highway,0
0.0670,low_friction,f_r_hw_normal.8,normal,30.8628,0.0331,100.000,0.0000,-0.0055,0.0064,5.333,0.4,highway,0
0.0670,low_friction,f_r_hw_normal.9,normal,30.1024,0.0353,82.090,0.0000,0.0010,0.0001,5.333,0.4,highway,0
0.1340,low_friction,ego,ego,36.9710,-2.2500,79.621,0.0000,-14.8329,0.0021,5.333,0.4,highway,0
0.1340,low_friction,f_r_hw_aggressive.1,aggressive,35.3959,-0.8450,153.242,0.0000,0.1159,0.0004,5.333,0.4,highway,0
